RANK,Country,Happiness_score1,Happiness score,Dystopia,Dystopia (1,GDP per capita,Explained by: GDP ,Family,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,,
1,Finland,7.821,7821,2.518,2518,1.892,1892,1.258,1258,0.775,0.736,0.109,0.534,,
2,Denmark,7.636,7636,2.226,2226,1.953,1953,1.243,1243,0.777,0.719,0.188,0.532,,
3,Iceland,7.557,7557,2.32,2320,1.936,1936,1.32,1320,0.803,0.718,0.27,0.191,,
4,Switzerland,7.512,7512,2.153,2153,2.026,2026,1.226,1226,0.822,0.677,0.147,0.461,,
5,Netherlands,7.415,7415,2.137,2137,1.945,1945,1.206,1206,0.787,0.651,0.271,0.419,,
6,Luxembourg*,7.404,7404,2.042,2042,2.209,2209,1.155,1155,0.79,0.7,0.12,0.388,,
7,Sweden,7.384,7384,2.003,2003,1.92,1920,1.204,1204,0.803,0.724,0.218,0.512,,A1/1000
8,Norway,7.365,7365,1.925,1925,1.997,1997,1.239,1239,0.786,0.728,0.217,0.474,,
9,Israel,7.364,7364,2.634,2634,1.826,1826,1.221,1221,0.818,0.568,0.155,0.143,,
10,New Zealand,7.2,7200,1.954,1954,1.852,1852,1.235,1235,0.752,0.68,0.245,0.483,,
11,Austria,7.163,7163,2.148,2148,1.931,1931,1.165,1165,0.774,0.623,0.193,0.329,,
12,Australia,7.162,7162,2.011,2011,1.9,1900,1.203,1203,0.772,0.676,0.258,0.341,,
13,Ireland,7.041,7041,1.743,1743,2.129,2129,1.166,1166,0.779,0.627,0.19,0.408,,
14,Germany,7.034,7034,2.142,2142,1.924,1924,1.088,1088,0.776,0.585,0.163,0.358,,
15,Canada,7.025,7025,1.924,1924,1.886,1886,1.188,1188,0.783,0.659,0.217,0.368,,
16,United States,6.977,6977,2.214,2214,1.982,1982,1.182,1182,0.628,0.574,0.22,0.177,,
17,United Kingdom,6.943,6943,1.967,1967,1.867,1867,1.143,1143,0.75,0.597,0.289,0.329,,
18,Czechia,6.92,6920,2.263,2263,1.815,1815,1.26,1260,0.715,0.66,0.158,0.048,,
19,Belgium,6.805,6805,2.283,2283,1.907,1907,1.106,1106,0.764,0.492,0.049,0.204,,
20,France,6.687,6.687,1.895,1895,1.863,1863,1.219,1219,0.808,0.567,0.07,0.266,,
21,Bahrain,6.647,6647,2.092,2092,1.854,1854,1.029,1029,0.625,0.693,0.199,0.155,,
22,Slovenia,6.63,6630,1.885,1885,1.81,1810,1.249,1249,0.769,0.685,0.118,0.115,,
23,Costa Rica,6.582,6582,2.346,2346,1.584,1584,1.054,1054,0.744,0.661,0.089,0.102,,
24,United Arab Emirates,6.576,6576,1.809,1809,1.998,1998,0.98,0.98,0.633,0.702,0.204,0.25,,6.647
25,Saudi Arabia,6.523,6523,2.075,2075,1.87,1870,1.092,1092,0.577,0.651,0.078,0.18,,
26,Taiwan Province of China,6.512,6512,2.002,2002,1.897,1897,1.095,1095,0.733,0.542,0.075,0.168,,
27,Singapore,6.48,6480,0.932,0.932,2.149,2149,1.127,1127,0.851,0.672,0.163,0.587,,
28,Romania,6.477,6477,2.446,2446,1.719,1719,1.006,1006,0.655,0.605,0.039,0.006,,
29,Spain,6.476,6476,1.893,1893,1.808,1808,1.211,1211,0.808,0.505,0.101,0.149,,
30,Uruguay,6.474,6474,1.974,1974,1.615,1615,1.18,1180,0.672,0.665,0.103,0.265,,
31,Italy,6.467,6467,2.222,2222,1.834,1834,1.052,1052,0.801,0.412,0.085,0.059,,
32,Kosovo,6.455,6455,2.631,2631,1.362,1362,0.949,0.949,0.569,0.599,0.309,0.035,,
33,Malta,6.447,6447,1.631,1631,1.838,1838,1.169,1169,0.789,0.679,0.174,0.166,,
34,Lithuania,6.446,6446,2.153,2153,1.804,1804,1.204,1204,0.659,0.496,0.053,0.077,,
35,Slovakia,6.391,6391,2.094,2094,1.736,1736,1.232,1232,0.707,0.479,0.118,0.025,,
36,Estonia,6.341,6341,1.442,1442,1.793,1793,1.232,1232,0.728,0.689,0.123,0.333,,
37,Panama,6.309,6309,2.086,2086,1.715,1715,1.107,1107,0.709,0.592,0.049,0.051,,
